baths,baths_full,baths_half,beds,garage,lot_sqft,sold_date,sold_price,sqft,stories,type,year_built,is_price_reduced,list_date,list_price,listing_id,city,lat,lon,line,postal_code,state,state_code,price_reduced_amount,property_id,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,disability_features,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,laundry_room,master_bedroom,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer
3.0,1.0,1.0,2.0,2.0,871.0,2024-01-10,822500,2230.0,,condos,2010.0,False,2023-09-05T17:20:56.000000Z,845000,2959376102,Lincoln,40.816489,-96.710551,350 N 7th St Apt 9,68508,Nebraska,NE,0.0,8344522070,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2.0,1.0,1.0,3.0,2.0,6043.0,2024-01-10,210000,1028.0,2.0,single_family,1980.0,False,2023-11-17T21:14:20.000000Z,230000,2961800161,Lincoln,40.869699,-96.734979,701 W Custer St,68521,Nebraska,NE,0.0,7243542386,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.0,1.0,1.0,3.0,0.0,9148.0,2024-01-08,225000,2018.0,2.0,single_family,1925.0,False,2023-12-07T19:24:13.000000Z,220000,2962309978,Lincoln,40.835584,-96.644364,2311 N 56th St,68504,Nebraska,NE,0.0,7542602278,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
3.0,1.0,0.0,3.0,2.0,11326.0,2024-01-08,425000,2511.0,1.0,townhomes,2021.0,False,2023-11-16T16:57:19.000000Z,429500,2961738049,Lincoln,40.840268,-96.609271,2717 Regent Pl,68507,Nebraska,NE,0.0,9651289778,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2.0,1.0,0.0,3.0,2.0,7808.0,2024-01-08,260000,2086.0,1.0,single_family,1974.0,False,2023-11-30T16:12:58.000000Z,250000,2962078254,Lincoln,40.76429,-96.689992,4824 Southwood Dr,68512,Nebraska,NE,0.0,7185679749,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
3.0,3.0,0.0,3.0,2.0,4684.0,2024-01-08,364500,2304.0,1.0,townhomes,2015.0,False,2023-11-17T19:48:18.000000Z,368000,2961796234,Lincoln,40.745865,-96.63957,6552 S 59th St,68516,Nebraska,NE,0.0,7562349221,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
3.0,2.0,0.0,3.0,3.0,8614.0,2024-01-08,609000,2898.0,1.0,single_family,2015.0,False,2023-10-05T14:12:28.000000Z,609000,2960273163,Lincoln,40.766515,-96.610869,4626 S 80th St,68516,Nebraska,NE,0.0,8368088914,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
2.0,1.0,0.0,3.0,2.0,9560.0,2024-01-08,295000,1861.0,1.0,single_family,1992.0,False,2023-12-20T15:41:55.000000Z,294900,2962661163,Lincoln,40.787657,-96.744436,1531 W Lake Ct,68522,Nebraska,NE,0.0,8536109155,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2.0,2.0,0.0,2.0,2.0,6970.0,2024-01-08,170000,1109.0,1.0,townhomes,1995.0,False,2023-12-12T15:56:15.000000Z,170000,2962407468,Lincoln,40.794892,-96.732398,760 Folsom Ln,68522,Nebraska,NE,0.0,7970583438,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,19800.0,2024-01-05,74000,0.0,0.0,land,0.0,False,2021-10-06T16:40:40.000000Z,90000,2935179051,Lincoln,40.711364,-96.617101,7646 Isidore Dr,68516,Nebraska,NE,0.0,9078473372,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,0.0,3.0,0.0,10890.0,2023-12-20,150000,1149.0,1.0,single_family,1930.0,False,2023-11-04T19:47:45.000000Z,155000,2961368435,Columbia,34.025423,-81.052145,1120 Darlington St,29201,South Carolina,SC,10000.0,6758116193,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,,2023-12-18,54167,,,single_family,,False,2023-10-16T18:28:32.000000Z,5000,2960589662,Columbia,34.094311,-81.034111,412 Lincolnshire North Dr,29203,South Carolina,SC,0.0,9297193651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,2.0,0.0,20038.0,2023-12-15,144000,1070.0,,single_family,1940.0,False,2023-11-01T23:04:32.000000Z,148000,2961098452,Columbia,34.062559,-81.056734,1450 Winyah Dr,29203,South Carolina,SC,0.0,5869332911,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
3.0,2.0,1.0,3.0,0.0,43560.0,2023-12-15,260000,1504.0,2.0,single_family,2007.0,False,2023-12-20T00:09:17.000000Z,260000,2962651090,Columbia,33.983242,-81.039568,113 Tryon St,29201,South Carolina,SC,0.0,5738462778,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2.0,2.0,0.0,2.0,0.0,76666.0,2023-12-07,85000,,1.0,mobile,1993.0,False,2023-11-10T22:52:16.000000Z,89900,2961543604,Columbia,34.136235,-80.911951,140 Whitaker Rd,29223,South Carolina,SC,10000.0,5831298569,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3.0,2.0,1.0,4.0,2.0,16988.0,2023-11-28,295000,2370.0,,single_family,1974.0,False,2023-10-21T13:55:27.000000Z,285000,2960764763,Columbia,34.052666,-81.143376,320 Brookshire Dr,29210,South Carolina,SC,0.0,6791007163,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
